id,Date,Height,Size,Periods,Object Number,Discribtion,Element,type,URL
1,Qing dynasty (1644–1911) / China,,Diam. 11 1/8 in. (28.3 cm),,79.2.1288,Porcelain painted in underglaze blue and overglaze famille verte enamels,,Ceramics,https://images.metmuseum.org/CRDImages/as/original/79_2_1288_01.jpg
2,18th century,,H. 1 3/4 in. (4.4 cm); W. 5 3/4 in. (14.6 cm),,79.2.1301,"Porcelain painted in underglaze blue, and overglaze yellow enamel",,Ceramics,https://images.metmuseum.org/CRDImages/as/original/29628.jpg
3,late 16th–17th century,,H. 21 1/4 in. (54 cm); Diam. 9 in. (22.9 cm); Diam. of rim 3 3/8 in. (8.6 cm); Diam. of foot 6 in. (15.2 cm),,16.61,Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/DP222234.jpg
4,late 16th–early 17th century,,H. at handles 3 1/8 in. (7.9 cm); H. of bowl 2 5/8 in. (6.7 cm); Diam. of rim. 4 7/8 in. (12.4 cm); Diam. of base 2 3/8 in. (6 cm),,79.2.163,Porcelain painted in underglaze blue,,Ceramics,https://images.metmuseum.org/CRDImages/as/original/28225.jpg
5,"Ming dynasty (1368–1644), Wanli mark and period (1573–1620) / China",,Each: H. 4 1/2 in. (11.4 cm),,"09.13.1a, b",Porcelain painted in underglaze blue,,Ceramics,https://images.metmuseum.org/CRDImages/as/original/5559.jpg
6,ca. 1625,,H. 2 1/16 in. (5.3 cm); W. 9 7/8 in. (25.1 cm); L. 11 1/4 in. (28.5 cm),,2010.206,Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/DP244351.jpg
7,late 18th–19th century,,H. 8 1/2 in. (21.6 cm),,09.194.4,Porcelain painted in underglaze blue and overglaze famille verte enamels,,Ceramics,https://images.metmuseum.org/CRDImages/as/original/09_194_4_O1_sf.jpg
8,mid-15th century,,H. 14 in. (35.6 cm); Diam.14 1/4 in. (36.2 cm); Diam. of rim 8 1/4 in. (21 cm); Diam. of foot 7 5/8 in. (19.4 cm),,2010.22,Porcelain with cobalt blue under a transparent glaze (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/DP342694.jpg
9,late 16th century,,H. to top of spout 7 in. (17.8 cm); L. 6 1/2 in. (16.5 cm),,2003.232,Porcelain painted in underglaze blue,,Ceramics,https://images.metmuseum.org/CRDImages/as/original/DP274936.jpg
10,mid-14th century,,H. 17 1/2 in. (44.5 cm),,"26.271.1a, b",Porcelain painted with cobalt blue under a transparent glaze (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/DP274702.jpg
11,second quarter 16th century,,H. 2 1/2 in. (6.4 cm); Diam. 12 1/2 in. (31.8 cm),,1970.24,Porcelain painted in underglaze blue; export ware,,Ceramics,https://images.metmuseum.org/CRDImages/as/original/194368.jpg
12,ca. 1620–30,,H. 3 1/8 (7.9 cm); Diam. 14 1/8 in. (35.9 cm); Diam. of foot: 8 7/8 in. (22.5 cm),,2007.295,Porcelain painted in underglaze cobalt blue over white slip (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/2007_295_O1_Strm1_crop.jpg
13,second quarter 17th century,,Diam. 7 7/8 in. (20 cm),,79.2.1084,Porcelain painted in underglaze blue and overglaze polychrome enamels,,Ceramics,https://images.metmuseum.org/CRDImages/as/original/29172.jpg
14,"Ming dynasty (1368–1644), Tianqi mark and period (1621–27) / China",,H. 1 1/2 in. (3.8 cm); Diam. 6 1/2 in. (16.5 cm),,24.170.7,Porcelain painted in underglaze blue and overglaze polychrome enamels (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/DP-15944-029.jpg
15,third quarter 17th century,,H. with cover: 8 7/8 in. (22.5 cm),,"17.165a, b",Porcelain painted in underglaze blue,,Ceramics,https://images.metmuseum.org/CRDImages/as/original/17_165.jpg
